Our Code,Partner Code,val,active, our code expire,partner code expire
TGGDMQ0BGX7WJ5HL,AIRR19Y5B4W2X3Y6,20,11/10/12,03/31/13,11/25/12
N8GGO4HR9ASVZHPH,EF20OF3VGLFPC0H6,20,11/10/12,03/31/13,11/25/12
2QYY9DPPR5IZZ3PE,635WCPCXYAKE958C,20,11/10/12,03/31/13,11/25/12
H8CMHZ1RTHZGB88Y,GSPFZU72TQBR80Q3,20,11/10/12,03/31/13,11/25/12
7FJ3UKJFBED2FCQO,KXWNHGC9CLHRMDGC,20,11/10/12,03/31/13,11/25/12
ZWSVSQSXZE2FL8WO,EXJ5RMXH8EI2L645,20,11/10/12,03/31/13,11/25/12
WGUW51ITV648LFN3,5L5YUYXZ0QWWSPTM,20,11/10/12,03/31/13,11/25/12
43YXCE4DFMGQBCHJ,D2JWNRPBXTOA94VA,20,11/10/12,03/31/13,11/25/12
YXJ23P69KILLN9RO,Z2I5OD8TGT9VIK50,20,11/10/12,03/31/13,11/25/12
QMMZ4MIK2XDHQ014,PWPK3M6R4APUBOAD,20,11/10/12,03/31/13,11/25/12
RX9TTJTJJHYICZZH,K47GN8KARK16J6BA,20,11/10/12,03/31/13,11/25/12
MQSYU3SRKEA00YN6,AZCN65NQUO6Y2KPV,20,11/10/12,03/31/13,11/25/12
B7G2B7S25U88VOE3,CZFH525DQLZXNT3S,20,11/10/12,03/31/13,11/25/12
50F1UCIAU191N3W6,YIA0LPWCRQEA0TRI,20,11/10/12,03/31/13,11/25/12
WNYXA1XZ9U81TGGB,S1GX1B4X3DFMXMVS,20,11/10/12,03/31/13,11/25/12
CLEZK8U0UIECBLF1,TR9KSAZ4VEUWG37T,20,11/10/12,03/31/13,11/25/12
1NDC6WI7739SPX2H,B258CZAAFLCBQ085,20,11/10/12,03/31/13,11/25/12
Q70WZ6ORJQ21F0B5,4JEA6WBDXCTKOW2E,20,11/10/12,03/31/13,11/25/12
39BO4MI8WJY90JFG,7J57ECIFEN6A96JH,20,11/10/12,03/31/13,11/25/12
SPEZNEYTNS634414,O2WDOSEXISE2EH9K,20,11/10/12,03/31/13,11/25/12
L0RBCX5OGX0RZV30,M2XLMMSSJFZU6IDZ,20,11/10/12,03/31/13,10/20/12
553URKSABXPLSQPE,QGZHBBQPHQFPN7MY,20,11/10/12,03/31/13,10/20/12
9FGAR86TATWF2D9U,SFKTW7HIN0YSGU9K,20,11/10/12,03/31/13,10/20/12
WRP40UOKAMPRG73Z,BENCOAQP280ECRC8,20,11/10/12,03/31/13,10/20/12
EBQDGTZB1MKPR5FS,TN48GL1DXPOUTYZQ,20,11/10/12,03/31/13,10/20/12
J049J417VPRV98X7,C0G2C44RYOXEW4V4,20,11/10/12,03/31/13,11/25/12
1CJBV9SOSXCIHZK4,RZ3P3FCMTOMF1X7E,20,11/10/12,03/31/13,11/25/12
T5Q791Q6KDO92X24,X8FKAOULFJUKDWUM,20,11/10/12,03/31/13,11/25/12
TCGH19ENHH6QELRJ,UBS0JBPZJTGWPW7A,20,11/10/12,03/31/13,11/25/12
35E9RRZX0ALPCY20,LVYUVFSDUM41VOWL,20,11/10/12,03/31/13,11/25/12
37J38UC6OHYO12X1,SFU1SUV2J32OMDO4,20,11/10/12,03/31/13,11/25/12
3OA5QVAPX7J2CU79,KJGTW9GEYYIHYKOH,20,11/10/12,03/31/13,11/25/12
KOV0O02GDD0EA2A7,YVH20UQ3EVJQ3X7U,20,11/10/12,03/31/13,10/20/12
EJBLLY3BIB5CCXB1,74CNZHZSNYRRNNZ9,20,11/10/12,03/31/13,10/20/12
6O7E1HLZGOCTOZOO,LZPXFYMMJDQ71FUG,20,11/10/12,03/31/13,10/20/12
UZINQPJOPPJ05QTP,CC3MROLPY2869HDQ,20,11/10/12,03/31/13,10/20/12
KVPGY3I430HF3RRM,GR1DPGJE6ND5Z9AY,20,11/10/12,03/31/13,10/20/12
KB9PY2D0L0DBR1ZD,MZBNDN0AVTLRTWJG,20,11/10/12,03/31/13,11/25/12
E8GN3SVMRJDORY5F,J4JY7RYXKKWZ6OPL,20,11/10/12,03/31/13,11/25/12
IP64B5MZEX105M8T,8MO97DLZ8MP8BSSJ,20,11/10/12,03/31/13,11/25/12
AC8V0Q7C60HXN442,UIQADUWFXRDPGJCN,20,11/10/12,03/31/13,11/25/12
V46SMXN9S1W82XJW,BLNCKM3X6ZM89EMI,20,11/10/12,03/31/13,11/25/12
J12MKA4FQ5U4ZOFN,EAWH5KADBYCB2D0B,20,11/10/12,03/31/13,11/25/12
RNOYRUIN6VB7Q004,MJWA961NA2DYGK8A,20,11/10/12,03/31/13,11/25/12
WT8NTNX94MS2IF2Q,UEONI6RA85BD8UO3,20,11/10/12,03/31/13,11/25/12
AXHP21A19NB2CSQ8,QXGMT506T5B7YB6X,20,11/10/12,03/31/13,11/25/12
3XHPBJJPTBF2QJQX,IEQ1CQQREBN72BXB,20,11/10/12,03/31/13,11/25/12
LL84HKDUCIVW2XMA,H73Y9YH2SWW4TRNA,20,11/10/12,03/31/13,11/25/12
E3RZ1O6QL7QKN4HO,SCAT7ACPXHD0I71M,20,11/10/12,03/31/13,11/25/12
5YOPD2FYQ132ZNFX,UUVWQ42CO3E3WTGO,20,11/10/12,03/31/13,11/25/12
9URX65L08R4LDV66,QL5TLVHB1996U3YK,20,11/10/12,03/31/13,11/25/12
33MFKRZYVX373KVJ,XXMUGPUR8FKPZQLR,20,11/10/12,03/31/13,11/25/12
LAMSVQHSLIMZFCIP,8EANVKBAQEA0OFTG,20,11/10/12,03/31/13,11/25/12
UX08J3NPFI0CX6OV,KFT1DE20RFW6DCU0,20,11/10/12,03/31/13,11/25/12
K3SDOPHPLBESWMDR,Z1BHHK6OWJWLAMPU,20,11/10/12,03/31/13,11/25/12
425B4RYVWW1N1M7Y,R2WN2B385EJE2Y0X,20,11/10/12,03/31/13,11/25/12
P7J56TGHP5AUFH0N,RGOW92TMKQG3DZEN,20,11/10/12,03/31/13,11/25/12
HGGFJNNTTLTHIPZS,5HP44XLKVVB995OP,20,11/10/12,03/31/13,11/25/12
KHG0TA58GR67CFU3,7VTFLFJ561OV30R2,20,11/10/12,03/31/13,10/20/12
5U78IX7PFTW21TXL,62WOYRMPD5V0NSXL,20,11/10/12,03/31/13,10/20/12
5D8ZDB0U23C03IVR,4Q7M0M5TXKD2IOEY,20,11/10/12,03/31/13,10/20/12
L7IF0JEQUXH1DXED,3JTPMEEU2TGJIM1H,20,11/10/12,03/31/13,10/20/12
9E1WU41NTZW9MB0M,XYF2S1FSQIUXG72T,20,11/10/12,03/31/13,10/20/12
0TAJWHBBHQ03W7J3,UE3WK4BUX6K1S379,20,11/10/12,03/31/13,11/25/12
XRJ0IQ9X3G04V4UC,AMEHS8KLKM8I0GAY,20,11/10/12,03/31/13,11/25/12
GBKA2DVO8AF5LLGD,8TFX4FPKXYN0V54T,20,11/10/12,03/31/13,11/25/12
8JRPTLI1GNZ8FL0F,VTGUGSL0Z85HRTAJ,20,11/10/12,03/31/13,11/25/12
RJ2Z72D618TJP970,JQOMV4DZUUG3BAVW,20,11/10/12,03/31/13,11/25/12
94FJCGMBWWG857GZ,JQKJ1WYFYLCGW27J,20,11/10/12,03/31/13,11/25/12
CH08N6D5RJ6IPLC1,1MPHK5D6EXUW32T6,20,11/10/12,03/31/13,11/25/12
6L65NTLK3BJV3DWT,PQ07OL6R1DTL3YYF,20,11/10/12,03/31/13,10/20/12
V6MP8LA4LRGK9CLF,FQARUKPXSH637MYR,20,11/10/12,03/31/13,10/20/12
T7JJL1N2F34RCXCY,H5CSL07ACMWVFK9M,20,11/10/12,03/31/13,10/20/12
J6ZH8C8TQG5RZ1CR,29FXREAT0HBGW8QB,20,11/10/12,03/31/13,10/20/12
HSV1SK3K55FGZ7O2,T01901RNLOT4EENR,20,11/10/12,03/31/13,10/20/12
C1A3GZHAW879SBG3,K9OVFWRGS8ZMMEA3,20,11/10/12,03/31/13,11/25/12
GP0M51JVZL8MHJEU,73QE17ST5S5I7JNE,20,11/10/12,03/31/13,11/25/12
W3A2M5QHZSN5W6HK,C632KAMFKOZADMSC,20,11/10/12,03/31/13,11/25/12
E419NRJHVZENC198,EIOEFKHLXX6C44UQ,20,11/10/12,03/31/13,11/25/12
52NC1PY9LTQ1YLU4,NTNOZKQCGKVDT1O0,20,11/10/12,03/31/13,11/25/12
18SSR8VREN1DPOD4,HWMEVPCSZIIM6T5S,20,11/10/12,03/31/13,11/25/12
3GK3KJSCLVDS1RYB,L4AL7FB54EHYOCYD,20,11/10/12,03/31/13,11/25/12
T69ATWELIJC6XLSN,TQHY3QNPIXIALYX8,20,11/10/12,03/31/13,11/25/12
7OVH8IRD1BXRN2TO,JX7AW3WMYS0AK5Q4,20,11/10/12,03/31/13,11/25/12
OVCG0EZACUY7JTJW,OTD9ZMMD4NXRSCKU,20,11/10/12,03/31/13,11/25/12
FFKJX6HDQSCGAOS6,FCH68CD7L3J1A2TM,20,11/10/12,03/31/13,11/25/12
OVQC8HTKWFE3KZA8,DJLPPJCZCZHWPK0C,40,11/10/12,03/31/13,11/25/12
TXAY3O2HH3DWG8M9,CQD0H4CH710C6O9P,40,11/10/12,03/31/13,11/25/12
ZAS09YZTK7LANPIT,ORO5JKONB3WIDCFZ,40,11/10/12,03/31/13,11/25/12
BKLUGL9GAIP7I4K1,J8XQ3HW6FKIYHRUM,40,11/10/12,03/31/13,11/25/12
B7XMLXRK6ONTVZW3,U6FZ3BH3T2VIJYXJ,40,11/10/12,03/31/13,11/25/12
2ILSEHFZB90OD3H8,NG1CH72PVO5SHF90,40,11/10/12,03/31/13,11/25/12
FUVTHGNMC4AM3MRZ,GNH1IG48CHIYDNUQ,40,11/10/12,03/31/13,11/25/12
X92VS52NLFVDTKR4,12E5PSLY390JEOLJ,40,11/10/12,03/31/13,11/25/12
EK9W5RQDPSFADTJB,HT7YQ7QKN8WH0A16,40,11/10/12,03/31/13,11/25/12
1FX0H3MDTUG85Z5Q,HXP8GJ08WZ9EZJ5Z,40,11/10/12,03/31/13,11/25/12
DWQYUS220A0GAZAJ,F3LOUZ4YVI1V3CZT,40,11/10/12,03/31/13,10/20/12
46G81ASGJV1IEC74,8HV9YYLHFVWFYDBQ,40,11/10/12,03/31/13,10/20/12
P3FBPJGB0TNC9PA3,DXPP2NBPKZPMU90Q,40,11/10/12,03/31/13,10/20/12
CKBSC703FIUBEZBN,IVONG6PYCOOF2LMJ,40,11/10/12,03/31/13,10/20/12
9CQBH9YTJXPRBWH6,TOIALXE94I3FL41S,40,11/10/12,03/31/13,10/20/12
C7L9X9ZNJKPK9S03,RADKSZLXFH3UCX2W,40,11/10/12,03/31/13,11/25/12
W2EHCQYZC6EGQGNY,V595VXPSUIKSIAUX,40,11/10/12,03/31/13,11/25/12
HUFNJNH8276F9QN5,W47O2CADBGBODAS2,40,11/10/12,03/31/13,11/25/12
8XZHPCENFUH9P6WT,WRG43KXWEIQPYY95,40,11/10/12,03/31/13,11/25/12
PQXV4JIO8HJLVWFR,SZPPH91DOPAWPRB5,40,11/10/12,03/31/13,11/25/12
5NZJZ8ZI1TU0T0Q4,5OZ57IWJ2H7OFS1K,40,11/10/12,03/31/13,11/25/12
QMRZSEJTMUK7IUXE,A5C9TLEFEADFP7UI,40,11/10/12,03/31/13,11/25/12
AK1H4048WHGPVWR4,FOERFQUJZTHIOFDT,40,11/10/12,03/31/13,10/20/12
S8SGELUBUX5VRCQ8,U45JQBJUYTHCOLUR,40,11/10/12,03/31/13,10/20/12
FXXHWMRMPQJTS6O7,50SES9SHOJ95CFR0,40,11/10/12,03/31/13,10/20/12
QYI6IEIVHZ6BD0S0,AAN3G6TZRHFEQ037,40,11/10/12,03/31/13,10/20/12
KM52BHPU4LG2410D,BP2GB21Z0TQ4HCI6,40,11/10/12,03/31/13,10/20/12
T606ZKTNJLY585Z6,WSTY27EQ2XFXUAY6,40,11/10/12,03/31/13,11/25/12
SJOZCX9ZPO69VYB7,XQVO0HI25PR0ZOCA,40,11/10/12,03/31/13,11/25/12
85I3HEACUCKJC2Q9,4QEBLYO7AMWC2BMP,40,11/10/12,03/31/13,11/25/12
C090KUDXFXWOWKQW,NYS781ZPLL6HUKXU,40,11/10/12,03/31/13,11/25/12
LYJR2QCED3HDV3F0,DURHH0V0HCALANSU,40,11/10/12,03/31/13,11/25/12
LQ0Y448ZVOVRQ1DR,NMYAVXD8VKTEQGT8,40,11/10/12,03/31/13,11/25/12
Q1CSNITW5JICX6K5,0Y6HM9851EV0SBVI,40,11/10/12,03/31/13,11/25/12
712EALU51H08QIHA,F57SL7BMY4MAB32L,40,11/10/12,03/31/13,11/25/12
888I662PG3FQA948,PQY74JNM7O6AEO9V,40,11/10/12,03/31/13,11/25/12
XUVGYIOBUJ0KTA6G,J20X89W2G9KWCEAP,40,11/10/12,03/31/13,11/25/12
5YGJFFL3YP0ZFAFY,QDYX6DN65HKMX4XF,40,11/10/12,03/31/13,11/25/12
NMCF35ZHAA1UXOU3,7SV3QH7ZK51CSJMN,40,11/10/12,03/31/13,11/25/12
E0BU4UMV4NY17SGG,TVRKWWPG24SG5XAP,40,11/10/12,03/31/13,11/25/12
3JJ67877PXEP70FS,5PC1OMGXHPYUG03P,40,11/10/12,03/31/13,11/25/12
MJUWED1RF3OJ2I8E,NCZVOTNWMQZ8U5B1,40,11/10/12,03/31/13,11/25/12
ZGWJTYEO5PJSA6QO,6P4PPVZ8LPHA5TSS,40,11/10/12,03/31/13,11/25/12
TOAKZEHPIXVSM80B,YRSSMG5PIHV8PRIC,40,11/10/12,03/31/13,11/25/12
C49VYQ7RYZSW4NBT,TCQ9HNQEKCUDHH3C,40,11/10/12,03/31/13,11/25/12
7J77FQY0HU0CRMPB,10KB5NYYFC6TXGPK,40,11/10/12,03/31/13,11/25/12
TBZNA1A5EV9L7SZL,XRJG5GLN4TAUJRKB,40,11/10/12,03/31/13,11/25/12
M9IG9G5YT9VDTQU8,KA7UA4WSHLK6NRUR,40,11/10/12,03/31/13,11/25/12
VFVUP2ITS64GXYWA,GY52QIJ238FGBFEX,40,11/10/12,03/31/13,10/20/12
939XS4FCYH9PHNG6,0Y1VO89OZ111CFIF,40,11/10/12,03/31/13,10/20/12
6BSZEX4TQCF9HN98,UQ0NV6WSSCGC6QSQ,40,11/10/12,03/31/13,10/20/12
CGQSAJ8RD9QI8XV9,E16CP47GQQ9A4FQA,40,11/10/12,03/31/13,10/20/12
YY8ELFRV0N7WKI9S,R2GUO76IZHJTF8OA,40,11/10/12,03/31/13,10/20/12
O0JWF4PKF6AEPGPL,Z5T8IYU4HIPE5YHA,40,11/10/12,03/31/13,11/25/12
0N8YYBH0G9Q2PA3C,JWLACE0PEK33ZXA2,40,11/10/12,03/31/13,11/25/12
8WGASKHRM46I67HT,FPGR42RDCU047IWE,40,11/10/12,03/31/13,11/25/12
UHUPKOJH1UWZVKNA,10AX9UXMJA9UDT2C,40,11/10/12,03/31/13,11/25/12
C4V2EVHNJDOFMZRA,G3K2F1XDWI4LCOR3,40,11/10/12,03/31/13,11/25/12
WK1ZF2RFTD1WOUCG,43F3J0T6H5FQ0188,40,11/10/12,03/31/13,11/25/12
H4Q77C08ICMUFM0X,ONOVDJV5WQW1Y6KF,40,11/10/12,03/31/13,11/25/12
2ICS01ZZDJ7LC8LF,NT6KZLQFI12JE0SK,40,11/10/12,03/31/13,10/20/12
3J5NPW16SP77EK37,VLGRIJXB75RDSJJR,40,11/10/12,03/31/13,10/20/12
YV98B9D33F1W3J3U,7OWLVMNZXX639UHI,40,11/10/12,03/31/13,10/20/12
G0A6YAP6ZN2C2NRP,S1QKTGOBF7D7DG2P,40,11/10/12,03/31/13,10/20/12
CX2YYCKCQ42H05JK,C58UZKONCNF2LDYL,40,11/10/12,03/31/13,10/20/12
AR1AXE1KDUZ66FU1,HKHB2VVHJG6092ND,40,11/10/12,03/31/13,11/25/12
OJVAQHT1SJNVXK38,ZFDLZE87KXFJ4P3O,40,11/10/12,03/31/13,11/25/12
RTA9RJGX0AFFTVGZ,W41CV0QH9QVUFKWV,40,11/10/12,03/31/13,11/25/12
